ツイートID,ツイート時刻,ツイート内容,いいね数,リツイート数,ID,ユーザID,アカウント名,自己紹介文,フォロー数,フォロワー数,アカウント作成日時,自分がフォローしているか？,アイコン画像URL,ヘッダー画像URL,WEBサイト
1546270542180732928,2022-07-11_08:10:00,"社会貢献の投資　物価高で新たな支援必要に　英社CEO

""投資が増えた理由は機関投資家や篤志家が『社会的インパクト投資』が信頼でき、一定のリターンをもたらすと認め始めた点だ。もう一つの理由はESG重視のように、社会的責任を強く認識… https://t.co/3iqcUz6bgw",1,0,900208022764564484,SustainaJapan,サステナ - SUSTAINA® 10th Anniversary,サステナビリティに特化した企業評価サイト SUSTAINA 公式アカウント。サイトの更新情報の他、自社ツール SUSTAINAアラートで自動収集した ESG、SDGs、経営・投資リスクなどに関する最新情報を”厳選”しシェアしています,77,1507,2017-08-23_13:08:12,False,http://pbs.twimg.com/profile_images/961763807142952960/-ZsXxZgo_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,https://t.co/RN9SWccSF0
1546269614685818880,2022-07-11_08:06:19,"RT @CocaColaJP_Sus: 2022年度版 #ESG レポートを公開しました。
環境や社会問題といったコカ･コーラの取り組みや考え方をご確認いただけます。是非、ご覧ください。

★日本語PDF
https://t.co/eY56Mhk1qa

★英語PDF　For…",0,61,1893627084,Maou_Samasama,まおう,社会人♀好き アニメ ゲーム ニコニコ ツイッター 2ch FGO ラブライブ アイマス ようつべ ラノベ 漫画 スクフェス 政経 モンスト 艦これ デレステなどです あと相互フォロー希望です よろしくお願いします(*'ω'*),19204,19390,2013-09-22_21:56:04,False,http://pbs.twimg.com/profile_images/1504840629817278467/vCcxjVE9_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,
1546269188846948352,2022-07-11_08:04:37,"引用：報告書にはユーザー企業が起点となる悪行も記載されているが〜システム開発などを悪行三昧の連中に発注するのは、ESGのS（社会）の観点から見て大いに問題
公取委が目を付けた日本の恥部、人月商売のIT業界の悪行は元から絶つべし |… https://t.co/yzUppwHGZm",0,0,913991862,ak47ssg69_job,FJP-Communication,"20130201：establish
20130401：business",142,58,2012-10-30_15:06:58,False,http://pbs.twimg.com/profile_images/627002371038511104/IEdmZUfy_normal.jpg,http://abs.twimg.com/images/themes/theme3/bg.gif,http://t.co/8WLRllR8MI
1546268222030241792,2022-07-11_08:00:47,無知って恐ろしいわ,0,0,938183578336206848,esg_9137,ゆうき,,283,53,2017-12-06_08:09:30,False,http://pbs.twimg.com/profile_images/1233541198947573760/9OzAmIj3_normal.jpg,,
1546267433853263873,2022-07-11_07:57:39,ESGから「E（気候変動）・N（自然）・H（人材）・G（統治）」みたいな議論があるのか。まぁ「S（社会）」って範囲広すぎだしわかる気がする。,2,0,108321637,Mitsunobu3,安藤光展／サステナコンサル,サステナビリティ経営の専門家。サステナビリティ／CSR／SDGs／ESGについて毎日ツイートするのでフォローしてください。近著『創発型責任経営』（日本経済新聞出版）。2009年よりブログ『サステナビリティのその先へ』運営。1981年長野県中野市生まれ。ワイン好きで日本ソムリエ協会・正会員（2016年入会）。,60,3459,2010-01-26_00:32:52,False,http://pbs.twimg.com/profile_images/571466642488455168/djK01VAf_normal.jpeg,http://abs.twimg.com/images/themes/theme16/bg.gif,https://t.co/JkvuTGl71W
1546267371437842432,2022-07-11_07:57:24,"RT @CocaColaJP_Sus: 2022年度版 #ESG レポートを公開しました。
環境や社会問題といったコカ･コーラの取り組みや考え方をご確認いただけます。是非、ご覧ください。

★日本語PDF
https://t.co/eY56Mhk1qa

★英語PDF　For…",0,61,2270981479,TukutukuChan1,つくつく,フォロバ１００％でやりこなす都心でOLやってる女子です！アニメ&ゲームの話題は大好きなんで、どなたでもフォロー&リプライ宜しくです！,14053,14030,2014-01-01_09:27:10,False,http://pbs.twimg.com/profile_images/1518328362480988160/Za0eCcYK_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,
1546267364354052096,2022-07-11_07:57:22,"#ESG経営 · #ガバナンス · シェア · シェア. ｢Creating Shared Value＝共有価値の創造」の略で、社会課 ...
リンク：https://t.co/0VjJmmEbMO
タ　グ：#経営",1,0,876794243443859456,yoshiki7111,Tweets,,3,13343,2017-06-19_22:30:12,False,http://pbs.twimg.com/profile_images/1129115766450614273/qs2TzHm1_normal.png,,
1546265275276099584,2022-07-11_07:49:04,"RT @SustainaJapan: ESGは脱炭素から自然へ　企業は新たな要求に備えを

""海外の株式市場で新しいESG（環境・社会・企業統治）テーマが浮上している。森林保護や動物愛護といった自然や生物のサステナビリティー（持続可能性）に関する要求だ""
https://t.c…",0,1,114145973,takumajima,antelk,"Artist. iridium77 CDO. Art of After Anthropocene. ESG*SDGs. A seed for the next. MOT. AMMA. “If you’re not part of the solution, you’re part of the problem.”",189,205,2010-02-14_17:55:56,False,http://pbs.twimg.com/profile_images/1280427718702583810/LDUyIkqy_normal.jpg,http://abs.twimg.com/images/themes/theme7/bg.gif,https://t.co/Nmcyy0PZom
1546262992471425027,2022-07-11_07:40:00,"ESGは脱炭素から自然へ　企業は新たな要求に備えを

""海外の株式市場で新しいESG（環境・社会・企業統治）テーマが浮上している。森林保護や動物愛護といった自然や生物のサステナビリティー（持続可能性）に関する要求だ""
https://t.co/uSJHK4hV9T",2,1,900208022764564484,SustainaJapan,サステナ - SUSTAINA® 10th Anniversary,サステナビリティに特化した企業評価サイト SUSTAINA 公式アカウント。サイトの更新情報の他、自社ツール SUSTAINAアラートで自動収集した ESG、SDGs、経営・投資リスクなどに関する最新情報を”厳選”しシェアしています,77,1507,2017-08-23_13:08:12,False,http://pbs.twimg.com/profile_images/961763807142952960/-ZsXxZgo_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,https://t.co/RN9SWccSF0
1546262746232025088,2022-07-11_07:39:01,"RT @K_Take_CPA: 先月発売された本。今のESGを「カオス」と表現してその先に何があるかを探る内容でとても良かった

松田先生をはじめ執筆陣が豪華。 https://t.co/zYEvRo6RmI",0,6,1266596595530821633,temp__jp,temp,,68,7,2020-05-30_14:05:58,False,http://pbs.twimg.com/profile_images/1266911828203892736/xpCL4hlC_normal.png,,
1546261666660499456,2022-07-11_07:34:44,RT @dpoann: スリランカの経済破綻と国民の半分を貧困に追い込んだ直接的な理由は不適切なESG政策であった。,0,3,3229855849,nadaynada3,人の命は一つ。死んで骨になったら只のカルシウム,2021/10/14 なだいなだボットの間隔を2時間ごとに変更します。出典は、私が探したものと、本の猪様、Amazonレビュー、Twitterから各人に感謝。ま、「暴言」もあります。ご興味ある方は。あなたのことで、あなたのことではないです。 引き続き、無恥ながら日本国憲法、平和、自由、民主主義についても、つぶやきます。,256,462,2015-05-29_23:01:49,False,http://pbs.twimg.com/profile_images/1287422143710375936/F-gJbMmw_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,
1546261387496026112,2022-07-11_07:33:37,RT @dpoann: スリランカの経済破綻と国民の半分を貧困に追い込んだ直接的な理由は不適切なESG政策であった。,0,3,2841213842,wild_animal_tnk,タヌキン🥇投票ぐらい行けよ☆,"選挙で与党、維新が躍進したら、さらに禁酒！！今年はもう酒飲まないぞ！
コーレーグースも禁止（7/1）⇛いや、調味料！

おぼろげながら浮かんできたんです【タヌキ】という字が。シルエットが浮かんできたんです。　　
飲む、鬱、タヌ🍃！✨日本を看取る会野山支部担当",482,546,2014-10-05_20:28:55,False,http://pbs.twimg.com/profile_images/1386663953468588032/z7xrVOzK_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,
1546260986050490368,2022-07-11_07:32:01,金融庁が怪しいESG投信を斬る https://t.co/CgjCFWjoif,2,0,2829002851,yumemititi,夢見父,投資ブログと映画ブログをやっているFireパパです。インデックスメインですがアクティブ、個別とビットコインもちょっとだけ。FP２級。娘のためにがんばるぞ,978,1396,2014-09-24_09:09:39,False,http://pbs.twimg.com/profile_images/514570958972006401/phxYvuLd_normal.jpeg,http://abs.twimg.com/images/themes/theme1/bg.png,https://t.co/aSj5nV7RN5
1546260757268299776,2022-07-11_07:31:07,スリランカの経済破綻と国民の半分を貧困に追い込んだ直接的な理由は不適切なESG政策であった。 https://t.co/Ma3DojFaLO,0,3,1520789214371418114,dpoann,Dpoann,,139,83,2022-05-02_00:37:53,False,http://pbs.twimg.com/profile_images/1526764237871529984/k9zklFZF_normal.jpg,,
1546260477403140098,2022-07-11_07:30:00,"世界全体の流れとして、ESG投資の流れが強く、経営方針にESGが組み込まれていないと、淘汰されていく企業が出てくるでしょう。
日本と欧米諸国ではESGへの意識の差は大きく、米国では2019年9月20日に多くの公立学校が休校となり、… https://t.co/WlJK21v3So",0,0,1432927112592195584,windstille_cal,windstille@ITリテラシー_金融リテラシーを高める,"宿泊業界🏨＞インフラエンジニア未経験入社💻（2021/01）
ITリテラシー、金融リテラシーを向上させるため勉強中。✍
IT・金融・経済知識の記事を紹介していきます。
まずは継続！",8,5,2021-09-01_13:44:10,False,http://pbs.twimg.com/profile_images/1432936330657337344/bas3YSkd_normal.jpg,,
